Date,Rice,Chicken_meat,Beef,Chicken_egg,Shallot,Garlic,Red_chili,Bird's_eye_chili,Cooking_oil,Sugar
2017-08-01,11200.0,34100.0,115150.0,22850.0,33200.0,33350.0,32000.0,41050.0,13950.0,14900.0
2017-08-02,11200.0,34150.0,115150.0,22800.0,32950.0,33150.0,32200.0,40600.0,13950.0,14900.0
2017-08-03,11200.0,34250.0,115250.0,22800.0,32650.0,33150.0,32400.0,40350.0,13950.0,14900.0
2017-08-04,11300.0,34300.0,115000.0,22750.0,32150.0,33000.0,32250.0,40500.0,13950.0,14900.0
2017-08-05,11266.66666666667,34316.66666666666,115100.0,22733.33333333333,31850.0,32800.0,32266.66666666667,40166.66666666666,13950.0,14900.0
2017-08-06,11233.33333333333,34333.33333333334,115200.0,22716.66666666667,31550.0,32600.0,32283.33333333333,39833.33333333334,13950.0,14900.0
2017-08-07,11200.0,34350.0,115300.0,22700.0,31250.0,32400.0,32300.0,39500.0,13950.0,14900.0
2017-08-08,11200.0,34350.0,115000.0,22600.0,31100.0,31750.0,32200.0,39050.0,13950.0,14900.0
2017-08-09,11200.0,34300.0,115100.0,22700.0,30850.0,31650.0,31950.0,38050.0,13950.0,14850.0
2017-08-10,11200.0,34450.0,115050.0,22600.0,30550.0,31550.0,31800.0,37750.0,13950.0,14900.0
2017-08-11,11250.0,34500.0,115100.0,22700.0,30450.0,31550.0,32300.0,37500.0,13950.0,14900.0
2017-08-12,11216.66666666667,34433.33333333334,115016.6666666667,22616.66666666667,30233.33333333333,31433.33333333333,31933.33333333333,36750.0,13933.33333333333,14900.0
2017-08-13,11183.33333333333,34366.66666666666,114933.3333333333,22533.33333333333,30016.66666666667,31316.66666666667,31566.66666666667,36000.0,13916.66666666667,14900.0
2017-08-14,11150.0,34300.0,114850.0,22450.0,29800.0,31200.0,31200.0,35250.0,13900.0,14900.0
2017-08-15,11200.0,34450.0,114600.0,22400.0,29800.0,30900.0,31800.0,36050.0,13950.0,14850.0
2017-08-16,11250.0,34150.0,114950.0,22600.0,30100.0,31050.0,31700.0,35700.0,14000.0,14850.0
2017-08-17,11250.0,34075.0,114700.0,22600.0,30025.0,30900.0,31650.0,35625.0,14000.0,14875.0
2017-08-18,11250.0,34000.0,114450.0,22600.0,29950.0,30750.0,31600.0,35550.0,14000.0,14900.0
2017-08-19,11233.33333333333,33883.33333333334,114583.3333333333,22450.0,29550.0,30350.0,31700.0,35400.0,14000.0,14883.33333333333
2017-08-20,11216.66666666667,33766.66666666666,114716.6666666667,22300.0,29150.0,29950.0,31800.0,35250.0,14000.0,14866.66666666667
2017-08-21,11200.0,33650.0,114850.0,22150.0,28750.0,29550.0,31900.0,35100.0,14000.0,14850.0
2017-08-22,11200.0,33500.0,114800.0,22150.0,28700.0,29450.0,32050.0,35050.0,13950.0,14850.0
2017-08-23,11250.0,33400.0,115150.0,22300.0,28950.0,29650.0,31650.0,34900.0,14000.0,14850.0
2017-08-24,11250.0,33450.0,115200.0,22350.0,28850.0,29600.0,31600.0,33850.0,14000.0,14850.0
2017-08-25,11250.0,33150.0,115050.0,22250.0,28750.0,29250.0,31200.0,34050.0,14000.0,14850.0
2017-08-26,11250.0,32866.66666666666,115100.0,22250.0,28666.66666666667,29216.66666666667,31416.66666666667,33916.66666666666,14000.0,14850.0
2017-08-27,11250.0,32583.33333333333,115150.0,22250.0,28583.33333333333,29183.33333333333,31633.33333333333,33783.33333333334,14000.0,14850.0
2017-08-28,11250.0,32300.0,115200.0,22250.0,28500.0,29150.0,31850.0,33650.0,14000.0,14850.0
2017-08-29,11250.0,32800.0,114950.0,22400.0,28450.0,29200.0,32450.0,34300.0,14000.0,14850.0
2017-08-30,11250.0,33000.0,115950.0,22450.0,28400.0,29200.0,33800.0,34300.0,14000.0,14900.0
2017-08-31,11250.0,33750.0,118250.0,22500.0,28500.0,29200.0,35000.0,35000.0,14000.0,14900.0
2017-09-01,11250.0,33475.0,117612.5,22475.0,28450.0,29137.5,35087.5,34975.0,13987.5,14887.5
